epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,242.579,1.56229,1.90157,1.15633,0.35863,0.84783,0.65582,0.43082,1.35918,2.88531,1.04933,0.000348077,0.000348077,0.000348077
43,248.317,1.47177,1.71647,1.13331,0.024,0.93478,0.62444,0.41521,1.37611,2.81477,1.04667,0.000350625,0.000350625,0.000350625
44,254.319,1.61332,1.83238,1.24449,0.024,0.93478,0.62444,0.41521,1.37611,2.81477,1.04667,0.00035289,0.00035289,0.00035289
45,260.198,1.426,1.637,1.16172,0.35824,0.86957,0.61694,0.43197,1.30763,2.79218,1.04008,0.000354872,0.000354872,0.000354872
46,266.109,1.40614,1.6336,1.10464,0.35824,0.86957,0.61694,0.43197,1.30763,2.79218,1.04008,0.000356571,0.000356571,0.000356571
47,271.838,1.49852,1.69627,1.21299,0.57988,0.37002,0.61383,0.42169,1.26259,2.78627,1.04968,0.000357987,0.000357987,0.000357987
48,277.572,1.41936,1.50169,1.1457,0.57988,0.37002,0.61383,0.42169,1.26259,2.78627,1.04968,0.000359121,0.000359121,0.000359121
49,283.369,1.37955,1.6457,1.11872,0.61044,0.44279,0.56099,0.36646,1.28913,2.83653,1.07655,0.000359971,0.000359971,0.000359971
50,289.111,1.39852,1.56075,1.1261,0.61044,0.44279,0.56099,0.36646,1.28913,2.83653,1.07655,0.000360538,0.000360538,0.000360538
51,294.89,1.47972,1.50577,1.13175,0.44614,0.55435,0.55814,0.37106,1.26968,2.87727,1.08485,0.000360822,0.000360822,0.000360822
52,300.611,1.42112,1.44933,1.09703,0.44614,0.55435,0.55814,0.37106,1.26968,2.87727,1.08485,0.000360824,0.000360824,0.000360824
53,306.297,1.49348,1.64473,1.1949,0.44614,0.55435,0.55814,0.37106,1.26968,2.87727,1.08485,0.000360542,0.000360542,0.000360542
54,312.083,1.41835,1.48019,1.07238,0.61163,0.42754,0.51973,0.36462,1.24042,2.85201,1.06733,0.000359978,0.000359978,0.000359978
55,317.796,1.41247,1.34212,1.06571,0.61163,0.42754,0.51973,0.36462,1.24042,2.85201,1.06733,0.000359131,0.000359131,0.000359131
56,323.532,1.39084,1.38513,1.08725,0.61163,0.42754,0.51973,0.36462,1.24042,2.85201,1.06733,0.000358,0.000358,0.000358
57,329.289,1.44945,1.45084,1.14997,0.69684,0.21377,0.54482,0.38063,1.2106,2.79393,1.05374,0.000356587,0.000356587,0.000356587
58,334.979,1.46138,1.54656,1.17332,0.69684,0.21377,0.54482,0.38063,1.2106,2.79393,1.05374,0.000354891,0.000354891,0.000354891
59,340.803,1.41339,1.51354,1.1213,0.69684,0.21377,0.54482,0.38063,1.2106,2.79393,1.05374,0.000352912,0.000352912,0.000352912
60,346.633,1.47487,1.46414,1.21171,1,0.22997,0.61227,0.42209,1.22314,2.75518,1.05876,0.000350649,0.000350649,0.000350649
61,352.355,1.25501,1.34508,1.09175,1,0.22997,0.61227,0.42209,1.22314,2.75518,1.05876,0.000348104,0.000348104,0.000348104
62,358.056,1.31618,1.3347,1.12229,1,0.22997,0.61227,0.42209,1.22314,2.75518,1.05876,0.000345276,0.000345276,0.000345276
63,363.771,1.42502,1.72064,1.18323,0.81007,0.23188,0.60721,0.42759,1.26902,2.73378,1.07578,0.000342165,0.000342165,0.000342165
64,369.547,1.33464,1.32883,1.10819,0.81007,0.23188,0.60721,0.42759,1.26902,2.73378,1.07578,0.000338772,0.000338772,0.000338772
65,375.301,1.31241,1.37305,1.08676,0.81007,0.23188,0.60721,0.42759,1.26902,2.73378,1.07578,0.000335095,0.000335095,0.000335095
66,381.011,1.28773,1.48233,1.14632,0.8353,0.24254,0.66436,0.44893,1.31419,2.69495,1.09023,0.000331135,0.000331135,0.000331135
67,386.746,1.41366,1.43088,1.14994,0.8353,0.24254,0.66436,0.44893,1.31419,2.69495,1.09023,0.000326892,0.000326892,0.000326892
68,392.568,1.37756,1.40477,1.13037,0.8353,0.24254,0.66436,0.44893,1.31419,2.69495,1.09023,0.000322367,0.000322367,0.000322367
69,398.446,1.44006,1.41589,1.13007,0.83865,0.33919,0.69089,0.48002,1.25396,2.62067,1.06189,0.000317558,0.000317558,0.000317558
70,404.175,1.32533,1.40266,1.10703,0.83865,0.33919,0.69089,0.48002,1.25396,2.62067,1.06189,0.000312467,0.000312467,0.000312467
71,409.897,1.36508,1.44042,1.05642,0.83865,0.33919,0.69089,0.48002,1.25396,2.62067,1.06189,0.000307092,0.000307092,0.000307092
72,415.683,1.32653,1.34262,1.05713,0.82518,0.43695,0.75346,0.52237,1.16804,2.51327,1.01511,0.000301435,0.000301435,0.000301435
